WJSpecID,Scientific,ScientificGenus,English,help1,help2,EnglishGenus,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder
28,Struthio camelus,Struthio,Ostrich,#VALUE!,#VALUE!,Ostrich,LC,BL3,Struthionidae,Ostriches,2,STRUTHIONIFORMES
37,Rhea americana,Rhea,Greater One Rhea,8,12,Rhea,NT,BL3,Rheidae,Rheas,3,RHEIFORMES
38,Rhea pennata,Rhea,Lesser Rhea,7,#VALUE!,Rhea,NT,BL3,Rheidae,Rheas,3,RHEIFORMES
45,Casuarius casuarius,Casuarius,Southern Cassowary,9,#VALUE!,Cassowary,VU,BL3,Casuariidae,Cassowaries,4,CASUARIIFORMES
46,Casuarius bennetti,Casuarius,Dwarf Cassowary,6,#VALUE!,Cassowary,NT,BL3,Casuariidae,Cassowaries,4,CASUARIIFORMES
47,Casuarius unappendiculatus,Casuarius,Northern Cassowary,9,#VALUE!,Cassowary,VU,BL3,Casuariidae,Cassowaries,4,CASUARIIFORMES
48,Dromaius novaehollandiae,Dromaius,Emu,#VALUE!,#VALUE!,Emu,LC,BL3,Dromaiidae,Emus,5,CASUARIIFORMES
55,Apteryx australis,Apteryx,Southern Brown Kiwi,9,15,Kiwi,VU,BL3,Apterygidae,Kiwis,6,APTERYGIFORMES
57,Apteryx owenii,Apteryx,Little Spotted Kiwi,7,15,Kiwi,NT,BL3,Apterygidae,Kiwis,6,APTERYGIFORMES
58,Apteryx haastii,Apteryx,Great Spotted Kiwi,6,14,Kiwi,VU,BL3,Apterygidae,Kiwis,6,APTERYGIFORMES
65,Tinamus tao,Tinamus,Grey Tinamou,5,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
66,Tinamus solitarius,Tinamus,Solitary Tinamou,9,#VALUE!,Tinamou,NT,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
67,Tinamus osgoodi,Tinamus,Black Tinamou,6,#VALUE!,Tinamou,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
68,Tinamus major,Tinamus,Great Tinamou,6,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
69,Tinamus guttatus,Tinamus,White-throated Tinamou,15,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
70,Nothocercus bonapartei,Nothocercus,Highland Tinamou,9,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
71,Nothocercus julius,Nothocercus,Tawny-breasted Tinamou,15,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
72,Nothocercus nigrocapillus,Nothocercus,Hooded Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
73,Crypturellus berlepschi,Crypturellus,Berlepsch's Tinamou,12,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
74,Crypturellus cinereus,Crypturellus,Cinereous Tinamou,10,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
75,Crypturellus soui,Crypturellus,Little Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
76,Crypturellus ptaritepui,Crypturellus,Tepui Tinamou,6,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
77,Crypturellus obsoletus,Crypturellus,Brown Tinamou,6,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
78,Crypturellus cinnamomeus,Crypturellus,Thicket Tinamou,8,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
80,Crypturellus undulatus,Crypturellus,Undulated Tinamou,10,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
81,Crypturellus transfasciatus,Crypturellus,Pale-browed Tinamou,12,#VALUE!,Tinamou,NT,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
82,Crypturellus strigulosus,Crypturellus,Brazilian Tinamou,10,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
83,Crypturellus boucardi,Crypturellus,Slaty-breasted Tinamou,15,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
84,Crypturellus kerriae,Crypturellus,Choco Tinamou,6,#VALUE!,Tinamou,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
85,Crypturellus erythropus,Crypturellus,Red-legged Tinamou,11,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
87,Crypturellus duidae,Crypturellus,Grey-legged Tinamou,12,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
88,Crypturellus noctivagus,Crypturellus,Yellow-legged Tinamou,14,#VALUE!,Tinamou,NT,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
89,Crypturellus atrocapillus,Crypturellus,Black-capped Tinamou,13,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
90,Crypturellus variegatus,Crypturellus,Variegated Tinamou,11,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
91,Crypturellus brevirostris,Crypturellus,Rusty Tinamou,6,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
92,Crypturellus bartletti,Crypturellus,Bartlett's Tinamou,11,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
93,Crypturellus parvirostris,Crypturellus,Small-billed Tinamou,13,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
94,Crypturellus casiquiare,Crypturellus,Barred Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
95,Crypturellus tataupa,Crypturellus,Tataupa Tinamou,8,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
96,Rhynchotus rufescens,Rhynchotus,Red-winged Tinamou,11,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
98,Nothoprocta taczanowskii,Nothoprocta,Taczanowski's Tinamou,14,#VALUE!,Tinamou,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
100,Nothoprocta ornata,Nothoprocta,Ornate Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
101,Nothoprocta pentlandii,Nothoprocta,Andean Tinamou,7,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
102,Nothoprocta cinerascens,Nothoprocta,Brushland Tinamou,10,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
103,Nothoprocta perdicaria,Nothoprocta,Chilean Tinamou,8,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
104,Nothoprocta curvirostris,Nothoprocta,Curve-billed Tinamou,13,#VALUE!,Tinamou,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
105,Nothura darwinii,Nothura,Darwin's Nothura,9,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
106,Nothura chacoensis,Nothura,Chaco Nothura,6,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
107,Nothura maculosa,Nothura,Spotted Nothura,8,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
108,Nothura minor,Nothura,Lesser Nothura,7,#VALUE!,Nothura,VU,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
109,Nothura boraquira,Nothura,White-bellied Nothura,14,#VALUE!,Nothura,LC,BL3,Tinamidae,Tinamous,1,TINAMIFORMES
